,play_type_remap
2,0
3,1
4,1
5,0
6,0
7,3
8,0
9,1
10,1
11,3
12,1
13,0
14,0
15,1
18,1
19,0
20,1
21,0
22,1
24,1
25,2
27,1
28,0
29,1
31,0
34,0
35,0
37,0
38,1
40,1
41,0
44,1
45,1
46,0
47,0
48,0
50,0
51,1
54,0
55,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,2
66,1
67,1
68,1
69,0
71,1
72,1
73,1
75,0
76,1
77,1
80,0
83,1
84,1
85,0
86,1
87,1
88,3
89,1
90,0
91,1
92,0
93,1
94,2
96,1
97,1
98,0
99,1
100,1
102,1
103,1
104,0
105,1
106,0
108,1
109,0
110,1
111,2
112,0
113,1
114,1
115,0
116,1
117,3
118,0
120,0
122,1
124,1
125,3
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,3
137,1
138,1
140,1
141,3
142,0
143,1
144,1
145,0
146,0
147,0
148,0
150,2
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,1
160,2
162,0
164,1
166,1
167,3
168,1
169,0
170,1
171,1
172,1
174,1
175,1
176,1
178,1
179,1
180,1
184,1
185,0
186,0
187,1
189,0
190,1
191,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,0
203,1
204,0
206,1
207,2
209,0
210,0
211,0
212,3
213,0
214,1
215,0
217,1
218,0
219,0
222,1
223,1
224,1
225,3
226,1
227,0
228,0
229,0
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,2
246,0
247,0
248,1
250,1
252,0
254,1
256,0
257,2
259,1
262,1
263,2
266,0
267,1
268,1
269,1
272,0
273,0
274,0
275,0
276,1
277,1
278,1
280,0
281,0
285,0
286,0
287,1
288,3
289,1
291,1
292,0
293,0
294,1
295,1
296,3
297,1
298,0
299,1
302,0
303,1
305,1
306,1
307,1
308,1
309,0
310,0
313,1
314,1
315,0
316,0
319,1
320,1
321,1
322,0
324,1
325,3
326,0
327,0
329,1
330,3
331,1
332,0
333,1
334,1
335,1
337,1
338,1
339,1
340,1
341,1
344,0
345,0
346,1
347,0
348,0
349,0
352,0
354,0
356,1
358,3
359,1
360,1
361,0
363,1
364,1
371,2
375,1
376,1
377,0
378,0
380,1
381,1
382,1
384,0
385,1
386,1
387,1
388,1
389,2
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,2
405,0
407,1
408,1
409,3
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,1
419,1
424,1
425,0
426,1
427,1
428,1
429,0
430,0
431,1
433,1
434,3
435,0
436,0
437,0
440,0
444,0
445,1
446,1
447,1
448,0
449,1
451,1
452,1
456,1
458,2
463,1
464,0
465,0
466,0
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,3
476,0
477,0
478,1
479,0
480,0
481,1
482,3
483,1
484,1
485,1
486,0
488,0
489,1
490,1
492,1
494,1
495,1
496,0
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,0
510,1
511,1
512,2
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
524,1
527,0
529,0
531,0
532,0
533,0
534,0
535,2
537,1
538,1
539,1
540,1
546,1
547,0
549,0
550,0
551,1
552,0
553,1
555,1
556,1
557,0
558,0
559,0
562,0
563,1
564,1
565,0
566,0
567,0
569,1
570,0
573,1
574,1
576,0
578,1
579,0
580,0
581,0
582,0
586,0
587,1
588,1
589,1
590,1
591,0
592,3
593,0
594,1
595,1
596,3
597,0
598,1
599,0
600,0
601,1
603,1
604,0
605,1
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,1
618,1
619,2
621,1
623,0
626,1
627,0
628,1
630,1
631,1
632,1
633,0
635,1
636,1
637,1
638,1
639,0
640,1
643,1
644,0
645,1
646,3
647,1
648,1
649,0
650,1
651,1
652,0
653,1
654,1
655,2
657,0
658,1
659,1
660,0
662,0
663,1
664,1
665,0
666,1
668,1
669,3
670,1
671,0
672,1
673,1
674,1
675,1
676,3
677,1
679,1
680,1
681,3
682,0
683,1
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,2
692,0
694,1
695,0
697,3
698,1
699,1
700,0
704,0
706,0
708,3
709,1
710,1
712,1
716,0
717,0
718,1
719,0
720,1
722,0
725,1
726,0
727,0
728,0
729,1
730,0
731,0
732,0
733,0
734,0
737,0
738,1
739,0
740,0
741,1
743,1
745,1
746,0
748,0
751,0
752,1
753,0
754,1
755,1
756,1
757,0
758,0
759,0
760,0
761,0
762,0
765,1
766,1
768,0
769,0
770,0
771,0
772,1
773,1
774,1
775,2
777,0
778,1
779,1
780,1
781,1
782,1
783,0
784,0
788,1
789,1
791,1
792,1
795,1
798,2
801,1
802,1
803,1
804,0
805,0
806,0
807,0
808,1
809,1
810,2
812,0
813,0
814,0
815,1
816,0
817,0
818,1
819,1
821,0
824,0
825,1
826,0
827,3
828,0
829,1
830,1
831,0
832,1
834,1
835,3
836,1
837,0
838,0
840,0
841,0
842,0
843,1
844,1
845,0
847,1
848,1
850,3
851,1
852,0
853,1
854,1
855,3
856,0
857,0
858,1
859,3
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,0
869,1
871,0
879,0
880,1
881,0
882,1
883,1
884,0
885,1
886,1
887,0
888,1
889,1
890,1
893,0
894,1
895,1
897,3
898,1
899,0
900,1
901,0
902,1
903,1
904,2
907,0
908,0
909,1
910,1
911,0
912,0
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,0
922,1
923,2
925,1
926,1
929,1
930,0
931,1
932,0
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,0
941,1
942,1
943,1
944,0
946,3
950,1
951,1
952,1
953,0
954,1
955,1
956,0
957,1
958,2
960,0
961,0
962,0
963,3
964,1
965,1
966,1
967,0
968,1
969,3
970,1
971,1
972,1
974,1
975,0
976,0
977,0
978,1
979,3
981,1
982,0
983,0
985,3
986,1
987,0
988,0
989,0
990,0
991,0
992,0
993,0
996,1
997,1
998,1
999,1
1000,0
1002,0
1003,0
1004,2
1006,1
1007,1
1009,1
1010,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,1
1021,1
1024,0
1030,0
1031,1
1033,0
1034,3
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,1
1044,3
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,2
1059,1
1060,0
1061,1
1063,1
1064,0
1066,1
1067,3
1068,1
1069,1
1070,1
1071,3
1072,1
1073,1
1074,0
1075,3
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,1
1085,2
1087,0
1088,1
1089,0
1090,0
1091,1
1093,0
1094,0
1096,0
1098,0
1101,0
1102,1
1105,1
1106,0
1108,2
1111,1
1112,1
1113,0
1114,1
1116,1
1120,1
1121,1
1123,1
1124,0
1125,1
1126,1
1127,0
1128,1
1129,0
1130,3
1131,0
1132,1
1133,0
1134,0
1135,0
1137,0
1138,1
1139,3
1140,1
1141,1
1142,0
1145,1
1146,1
1148,1
1149,1
1151,1
1152,3
1153,1
1154,0
1155,1
1156,0
1157,1
1158,3
1159,1
1160,1
1161,1
1162,0
1163,1
1164,0
1165,0
1166,0
1167,1
1168,1
1169,0
1170,0
1171,0
1173,1
1174,1
1176,1
1177,1
1179,0
1181,0
1183,1
1189,0
1190,0
1191,1
1192,3
1193,0
1194,1
1195,1
1196,0
1197,0
1198,1
1200,1
1203,0
1204,0
1205,1
1207,1
1208,1
1210,1
1211,3
1212,1
1213,1
1214,0
1215,3
1216,1
1217,0
1218,1
1219,3
1220,1
1221,1
1222,0
1223,1
1224,1
1228,1
1229,1
1230,1
1231,2
1233,1
1234,1
1235,1
1236,0
1237,0
1238,1
1239,0
1240,1
1241,1
1243,1
1245,1
1246,0
1247,1
1248,1
1249,1
1250,2
1252,0
1253,1
1254,1
1255,0
1256,1
1257,1
1258,0
1260,1
1262,0
1264,1
1265,0
1266,2
1268,1
1270,1
1273,1
1274,2
1277,0
1278,1
1279,1
1280,3
1281,0
1283,1
1284,0
1285,1
1286,1
1288,1
1289,0
1290,1
1291,1
1292,0
1293,0
1296,0
1297,1
1298,1
1299,0
1301,0
1302,1
1303,1
1304,0
1305,0
1306,0
1307,1
1308,1
1311,0
1313,1
1314,1
1315,0
1316,1
1317,0
