,play_type_remap
3569,0
42032,0
17774,1
20853,2
27312,0
6103,1
14224,1
11340,1
24664,1
13220,1
10167,1
765,1
19319,0
5476,1
5542,1
47555,1
14400,1
9162,1
31856,0
3965,0
10764,0
11243,1
44886,3
42383,1
17436,0
15842,1
24711,1
8828,1
24320,1
35613,1
10654,0
46005,1
16384,0
10913,1
10318,0
19187,0
5835,1
8570,0
12867,1
33908,1
45310,3
13486,1
15513,3
33841,1
17187,1
12401,1
39512,3
11974,1
15709,0
130,0
22488,1
28404,1
43025,1
4607,0
25690,1
24998,0
47936,1
15689,1
12476,0
1643,0
6939,1
38204,1
38988,0
24818,1
11064,1
41611,1
28957,1
18928,1
11464,1
26482,0
42773,1
1452,1
28309,3
43794,1
48457,0
42567,0
2108,0
35779,1
8966,1
36930,0
4943,3
42473,0
7377,1
2972,1
8883,0
1233,1
4962,0
35598,1
48092,1
6117,1
47521,1
41550,1
6726,3
20360,1
47805,1
24746,3
26860,1
47587,1
5743,0
164,1
43547,0
7298,1
23665,1
47099,1
38950,0
46343,1
28453,3
34369,1
37314,1
36363,0
25884,1
29397,0
31110,0
3744,0
40625,0
29041,0
46253,0
36360,0
27273,0
27046,1
21603,1
48061,0
33990,0
47586,0
11460,1
18072,1
19437,0
19205,1
26395,3
10566,1
15538,1
429,0
29419,2
30399,1
19827,1
16600,1
2144,1
1601,1
1324,1
22044,1
7146,1
11856,1
30896,1
42695,0
9900,0
40770,1
30957,1
27041,1
24993,1
16423,1
24560,0
43108,0
40751,2
48126,1
38763,1
29513,1
16323,1
20005,0
40764,1
835,3
43838,0
39883,1
1508,1
42183,1
11275,1
22070,1
24872,1
10329,0
8214,1
45116,1
48526,1
28251,0
35697,0
16811,1
35235,1
43791,1
44036,1
31288,0
44358,0
40556,1
859,3
48685,3
3295,1
14534,2
29054,0
10875,0
26122,0
24254,2
29024,1
46917,1
18237,1
6706,0
29639,0
34193,1
3113,3
30676,0
30760,3
37605,0
11007,0
21713,1
39142,3
28454,1
47764,0
30508,1
23638,0
4877,1
43572,1
25502,1
30324,1
35327,1
4680,0
6695,0
33067,0
33268,0
29491,1
40102,0
5463,0
48219,0
42131,0
3784,1
18787,0
43632,1
19897,0
320,1
38778,1
8990,3
24382,0
29356,1
28158,1
5521,1
1593,1
23959,0
9547,1
23942,1
28811,1
2430,1
41619,1
32007,1
45170,1
5227,1
7750,0
30772,3
34935,0
36702,0
41312,1
48672,1
8028,0
48488,3
31598,0
12959,1
11415,1
11889,1
21542,0
7191,1
30690,1
19600,1
1788,0
3270,0
42216,1
7069,1
37862,0
4302,1
16736,1
10809,3
16277,1
10864,0
9798,0
9165,0
39895,1
5276,0
9279,0
4712,0
4591,0
6313,3
16528,1
17556,0
3199,1
21325,0
37779,1
41790,1
46755,1
40740,1
44449,1
38352,0
18431,1
28125,2
27579,1
27496,0
4495,0
18925,1
12185,1
34296,1
24279,1
7195,1
44832,1
1837,0
24346,1
15722,1
4775,1
42636,1
7634,1
7182,0
24927,0
25286,1
6205,1
36867,0
41198,0
48631,3
31460,2
45720,1
42845,1
16359,0
12154,0
7035,1
6932,1
9245,1
26617,1
39795,1
3317,0
40612,1
41708,1
6150,1
8974,1
14506,1
7138,0
46332,1
44411,1
7274,0
38083,1
39443,0
6962,1
32471,0
15067,1
17855,0
31950,0
26039,1
22479,0
18579,0
16603,1
13315,2
40490,1
46195,1
44806,1
22930,0
41364,1
37636,0
7205,0
26266,0
40855,1
44431,0
33893,0
39064,0
5501,1
26988,1
1473,3
37692,1
25225,1
31666,0
39265,1
24943,0
34629,0
16179,0
10368,1
21180,1
18888,0
36226,0
19683,1
45465,0
23447,0
35404,1
10397,1
6409,1
14511,0
2513,3
4334,1
8521,3
33491,0
27879,1
25680,1
16449,0
40654,1
20951,1
29683,1
6017,0
40389,1
12962,1
31488,1
31140,1
9679,1
8298,1
20878,1
38023,3
41222,0
48030,0
8369,0
28375,1
39744,1
42700,0
42299,1
18107,3
31540,0
20790,1
5646,0
35822,1
29720,1
38429,0
48719,1
33757,0
25770,0
5392,1
12173,1
21131,0
8423,0
10831,1
16475,0
9240,1
2661,0
8398,1
36841,0
37121,1
43919,1
25511,1
18850,1
909,1
11149,1
5712,1
23306,1
36611,1
16490,1
21740,0
33274,2
5450,2
15452,3
962,0
6817,1
17487,3
31191,0
4053,0
45042,3
21775,0
25923,1
33471,1
9323,1
33863,1
19297,0
26179,0
8161,1
42079,3
24529,1
17854,0
10263,1
3101,0
16411,1
31886,0
4616,1
43418,0
42361,1
41047,1
7516,1
35047,0
8611,0
38323,1
29773,1
614,0
2576,1
11629,1
16013,0
3084,2
4567,2
8829,0
45314,0
20173,1
13988,0
28299,1
1745,1
13537,0
21238,1
21429,1
26985,1
35153,0
24019,0
4295,0
34431,0
2871,1
46042,1
28224,0
42721,0
48716,1
30713,1
16381,0
6489,1
23453,1
41187,0
22811,3
34429,0
25158,0
2170,0
21728,0
27290,1
48402,0
15460,1
27599,1
27210,0
41941,1
228,0
32670,1
16968,1
19645,1
24107,0
23839,0
2692,1
349,0
27473,0
34125,0
34557,0
43032,1
6984,2
15929,0
44843,3
29866,1
7079,1
28963,1
6310,1
30345,0
27515,1
33003,0
19184,0
15668,1
43841,2
6689,1
10151,1
21710,1
42698,1
14553,1
13284,1
14831,1
41417,0
27006,1
11189,1
16390,0
36417,0
13530,0
47975,0
19474,0
11423,1
42525,1
42139,1
21152,3
31301,1
22402,1
17173,0
16481,0
14172,0
25522,1
38517,0
4172,0
5622,1
11362,0
9052,1
33340,1
2607,1
11124,0
33497,1
48640,3
23229,0
27280,1
30665,1
9334,1
8979,3
47860,1
5735,1
25460,1
46288,1
828,0
26426,1
16166,1
25084,0
11867,1
1307,1
48064,1
5136,1
42782,1
25350,1
910,1
44140,1
10522,0
48177,0
9517,0
12702,0
22192,0
26119,1
9003,0
12795,1
23379,2
26314,1
16999,1
24935,1
14651,0
15359,0
24779,1
47001,0
10355,1
7586,1
1842,1
38031,0
8555,0
8538,1
24238,0
37722,1
29372,0
25859,0
28706,0
4849,0
47505,0
22321,1
12085,1
1116,1
13856,0
7307,1
16434,0
2882,0
18393,1
45518,1
22713,1
46929,1
33635,0
33755,0
31437,0
10745,1
32757,0
47164,0
8402,1
41774,1
20138,1
41671,1
18298,1
37399,1
11746,1
28574,1
24415,1
2998,0
7260,0
24972,1
38248,0
43576,1
13927,1
37188,0
19342,0
16452,0
9125,1
25426,1
3116,1
31096,1
7250,0
20002,0
30931,1
14789,0
30555,0
15516,1
24485,0
14782,0
48286,1
7913,0
10582,0
28427,1
45898,0
18841,1
42981,1
39628,3
26764,1
2519,0
44897,0
10201,0
14031,2
13227,0
30540,1
3138,1
7450,1
40875,1
10689,0
8587,0
39155,0
33829,0
1325,1
45500,1
41132,1
38817,0
42990,1
16723,0
3775,1
24240,0
1153,1
20792,1
30477,1
20628,0
16649,1
19454,0
26312,0
47458,1
39723,3
34826,1
28425,2
481,1
18713,1
29110,1
4083,1
36419,1
24729,0
24101,1
46942,1
23295,0
35286,0
32261,1
48099,0
24249,0
45088,1
22419,3
48289,0
23818,1
1734,0
33643,1
22336,1
26104,0
38540,3
9073,0
28771,1
3656,0
34316,1
44178,1
39270,0
41447,0
15824,1
7439,1
35618,0
12360,0
42784,1
41165,1
43953,1
14648,0
33912,1
12174,0
35244,1
27305,1
385,1
20022,1
26971,0
35709,0
33834,0
43847,1
36190,1
37988,0
17182,1
14383,0
13597,0
47855,0
38719,1
14327,1
21072,1
40888,1
15378,1
11079,1
32865,1
9360,1
32611,1
16276,1
41356,0
20542,1
41627,0
15915,0
5390,1
33335,0
37870,1
41829,0
27593,1
35567,0
7622,1
9605,1
8223,1
14986,3
41355,0
30052,1
28476,1
17624,1
47077,1
27184,1
31305,1
16912,1
2686,1
6353,1
41260,1
24954,1
7641,0
10733,1
31222,1
5562,3
12257,1
15387,1
899,0
35042,1
8280,1
7067,0
16388,1
16972,0
20295,1
22362,0
3422,1
5897,1
45962,1
25572,1
34786,0
45525,1
3382,0
38442,0
41220,3
3169,1
47222,0
34450,1
22693,1
27327,1
36744,1
27681,1
41661,1
24945,1
7348,0
43465,3
28242,0
28885,1
30026,0
43304,0
6684,1
40371,1
31549,1
3545,1
24472,0
8383,2
6686,0
45378,3
2887,1
6299,0
16111,1
3817,0
45039,1
31833,0
24747,1
3314,1
